category,topic,question,answer,keywords,priority
conditions,"Habit: Belanja Impulsif (Shopaholic)","Gak bisa nahan belanja, gaji lewat doang.","Belanja impulsif seringkali untuk menambal rasa sepi atau kurang berharga (low self-esteem). Kami bantu Anda merasa 'Cukup' dan 'Berharga' tanpa barang baru. Kami pasang 'Mental Stop Sign' yang otomatis muncul saat Anda melihat tulisan DISKON, memberi jeda waktu bagi logika untuk bekerja sebelum checkout.","belanja,boros,uang,shopping",8
conditions,"Habit: Kecanduan Gula/Manis","Mau diet tapi craving manis terus.","Sugar craving mirip kecanduan narkoba di otak. Kami putus asosiasi 'Manis = Bahagia'. Kami ganti dengan sugesti bahwa makanan manis berlebih terasa 'enek' atau terlalu giung. Di sisi lain, kami tingkatkan kenikmatan saat minum air putih dan makan sayur segar di pikiran bawah sadar Anda.","gula,manis,coklat,permen",8
conditions,"Habit: Menunda (Procrastination)","Suka nunda pekerjaan sampai deadline mepet.","Menunda bukan malas, tapi regulasi emosi yang buruk (takut gagal/sulit). Kami gunakan teknik 'Timeline Therapy' untuk melihat dampak buruk penundaan di masa depan, lalu membawa motivasi itu ke masa kini. Kami pecah mental block yang membuat pekerjaan terasa berat menjadi langkah-langkah kecil yang menyenangkan.","nunda,malas,kerja,tugas",9
conditions,"Habit: Merokok Chain-smoker","Sehari bisa 2-3 bungkus rokok, tolong.","Untuk perokok berat, kami gunakan metode 'Spiritual Detachment'. Kami ajak Anda melihat tubuh sebagai amanah Allah yang sedang didzalimi asap. Sugesti yang ditanamkan bukan hanya 'rokok jahat', tapi 'Saya Penjaga Amanah'. Seringkali kami kaitkan rasa rokok dengan sesuatu yang Anda benci (misal: rasa knalpot), sehingga fisik menolak otomatis.","rokok,asap,paru,berhenti",9
conditions,"Habit: Begadang","Suka begadang padahal gak ngapa-ngapain (Revenge Bedtime Procrastination).","Ini biasanya karena merasa 'waktu siang bukan milik sendiri'. Kami bantu Anda merasa puas dengan hari Anda (fulfillment). Sugesti relaksasi dipasang jam 10 malam, di mana mata akan terasa berat alami dan gadget menjadi tidak menarik. Kami sinkronkan kembali ritme sirkadian tubuh Anda.","begadang,malam,tidur,ponsel",8
conditions,"Habit: Suka Marah/Emosian","Dikit-dikit emosi meledak, kasihan anak istri.","Anger management dengan hipnoterapi sangat efektif. Kami cari 'tombol' pemicunya. Kami pasang 'Cooling System' di otak: saat amarah naik, otomatis napas melambat dan pikiran berucap Istighfar. Anda akan memiliki jeda kesadaran antara Pemicu dan Respon, sehingga bisa memilih untuk sabar daripada meledak.","marah,emosi,galak,bentak",9
conditions,"Habit: Mengeluh","Hidup rasanya berat, saya jadi sering ngeluh.","Mengeluh adalah pemrograman negatif yang berulang. Kami lakukan 'Gratitude Conditioning'. Setiap kali mau mengeluh, pikiran bawah sadar akan otomatis mengalihkannya mencari 3 hal yang bisa disyukuri saat itu juga. Ini mengubah vibrasi energi Anda dan menarik lebih banyak hal positif dalam hidup.","ngeluh,capek,nasib,sial",7
conditions,"Habit: Kecanduan Sosmed","Tiap menit scroll TikTok/IG, lupa waktu.","Dopamin detox mental. Kami ubah persepsi gadget dari 'sumber hiburan' menjadi 'alat kerja'. Kami tanamkan rasa bosan atau jenuh jika menatap layar lebih dari 15 menit tanpa tujuan. Anda akan merasa lebih 'hidup' saat berinteraksi di dunia nyata daripada dunia maya.","sosmed,hp,scroll,candu",9
kids,"Anak: Ngompol (Enuresis)","Anak SD masih ngompol, malu sama teman.","Ngompol pada anak besar biasanya karena tidur terlalu nyenyak sehingga sinyal kandung kemih tidak membangunkan otak. Kami memprogram ulang 'Bladder Alarm'. Sugestinya: 'Saat kandung kemih penuh, mata terbuka, bangun, jalan ke kamar mandi'. Ini dilakukan tanpa obat, murni komunikasi pikiran bawah sadar.","ngompol,pipis,kasur,malu",8
kids,"Anak: Mogok Sekolah","Tiba-tiba gak mau sekolah, nangis terus.","Mogok sekolah pasti ada pemicunya (bullying, takut guru, atau cemas pisah). Kami gali penyebabnya lewat cerita metafora. Lalu kami berikan 'Mental Armor' (baju zirah mental) agar anak merasa berani dan tangguh menghadapi lingkungan sekolah. Kami bangkitkan lagi rasa ingin tahunya yang menyenangkan tentang belajar.","sekolah,bolos,takut,guru",9
kids,"Anak: Susah Makan (GTM)","Anak susah makan, pilih-pilih banget (Picky Eater).","Kami gunakan imajinasi kreatif. Sayur disugestikan sebagai 'makanan superhero' yang bikin kuat. Kami ubah persepsi tekstur atau rasa yang tidak disukai menjadi netral. Hipnoterapi juga bisa menstimulasi sinyal lapar alami di otak anak agar makan dengan lahap.","makan,gtm,sayur,kurus",8
kids,"Anak: Sibling Rivalry","Kakak adik berantem terus, saling benci.","Kami damaikan di level bawah sadar. Sesi bisa dilakukan bersama atau terpisah. Kami tanamkan rasa 'Satu Tim' dan kasih sayang. Untuk kakak, kami beri peran 'Pelindung', untuk adik peran 'Pendukung'. Emosi cemburu (merasa kasih sayang ortu tidak adil) dinetralkan dan diganti rasa aman.","berantem,kakak,adik,rebut",7
kids,"Anak: Korban Bullying","Anak jadi pendiam setelah dibully teman.","Pemulihan trauma bullying sangat krusial agar tidak membekas sampai dewasa. Kami bantu anak melepaskan rasa malu dan takut. Kami 'Delete' kata-kata jahat pembully dari belief system mereka, dan ganti dengan afirmasi positif. Kami latih postur tubuh percaya diri agar tidak jadi target bully lagi.","bully,ejek,sekolah,diam",10
kids,"Anak: Fokus Belajar/ADHD","Anak gak bisa diam, susah fokus belajar.","Untuk anak aktif/ADHD, kami tidak mematikan energi mereka, tapi mengarahkannya. Teknik 'Laser Focus' diajarkan: saat belajar, dunia luar menjadi buram, hanya buku yang jelas. Kami gunakan anchor (misal: topi belajar) yang saat dipakai, otomatis mode fokus aktif.","fokus,belajar,aktif,adhd",9
kids,"Anak: Kecanduan Gadget","Kalau HP diambil ngamuk tantrum parah.","Ini gejala withdrawal. Kami kurangi level ketergantungan dopamin secara bertahap. Kami tanamkan sugesti bahwa dunia nyata (main bola, lego, gambar) jauh lebih seru warnanya dan rasanya. Tantrum diatasi dengan teknik 'Calm Down Anchor' yang bisa diaktifkan orang tua dengan sentuhan tertentu (yang sudah diprogram di sesi).","hp,gadget,game,tantrum",9
teen,"Remaja: Patah Hati","Anak remaja saya depresi putus cinta.","Patah hati pertama rasanya seperti kiamat bagi remaja. Hipnoterapi membantu 'Cord Cutting' (memutus ikatan emosi) dengan mantan. Kami bantu mereka melihat masa depan yang masih panjang dan cerah. Self-worth dinaikkan agar tidak merasa 'tidak laku' atau hancur harga dirinya.","pacar,putus,galau,sedih",8
teen,"Remaja: Minder Jerawat","Minder gak mau keluar kamar karena jerawatan.","Body Dysmorphia ringan. Kami bantu remaja menerima diri (Self-Acceptance). Fokus dialihkan dari 'penampilan fisik' ke 'potensi diri/bakat'. Uniknya, saat stres berkurang karena hipnoterapi, hormon seimbang, dan jerawat seringkali malah berkurang kesembuhannya.","jerawat,minder,wajah,malu",7
teen,"Remaja: Ujian/SBMPTN","Stres berat mau ujian masuk kuliah.","Exam Anxiety bisa bikin blank saat ujian. Kami lakukan simulasi mental ujian berkali-kali dengan perasaan tenang. Kami tanamkan 'Recall Anchor' untuk memudahkan memanggil memori pelajaran yang sudah dipelajari. Kondisi otak Alpha saat ujian justru meningkatkan IQ dan kreativitas menjawab soal.","ujian,tes,kuliah,stres",9
adult,"Dewasa: Masalah Kesuburan (Infertilitas)","Sudah promil lama belum hamil, dokter bilang stres.","Unexplained Infertility sering karena blok mental (takut jadi ibu, takut melahirkan, atau trauma masa lalu). Hipno-Fertility membantu menyiapkan 'Rumah Rahim' yang nyaman secara mental. Kami instruksikan tubuh untuk menyeimbangkan hormon reproduksi dan menerima kehadiran janin dengan sukacita.","hamil,mandul,anak,promil",8
adult,"Dewasa: Vaginismus","Sakit luar biasa saat berhubungan intim (Vaginismus).","Vaginismus adalah refleks otot vagina yang menolak penetrasi karena takut/trauma. Ini murni di bawah sadar, bukan dibuat-buat. Terapi kami BUKAN pijat, tapi memprogram ulang respon otot panggul untuk rileks. Kami buang memori bahwa 'Seks = Sakit/Dosa' dan ganti dengan 'Seks = Ibadah/Nikmat'.","seks,sakit,vaginismus,istri",9
adult,"Dewasa: Ejakulasi Dini","Suami sering 'keluar' duluan, jadi minder.","Jika fisik sehat, ini masalah kontrol pikiran. Kami ajarkan teknik 'Time Distortion' (memperlambat persepsi waktu) dan kontrol sensitivitas. Kami kurangi kecemasan performa yang justru mempercepat ejakulasi. Kepercayaan diri suami dipulihkan, keharmonisan pasutri kembali.","suami,cepat,seks,ejakulasi",8
adult,"Dewasa: Takut Sukses","Aneh, tiap mau sukses bisnis pasti saya sabotase sendiri.","Itu 'Self-Sabotage' atau 'Fear of Success'. Mungkin bawah sadar Anda percaya 'Kalau kaya nanti sombong' atau 'Kalau sukses nanti banyak yang iri'. Kami cari 'Mental Block' ini dan hancurkan (reframe). Kami selaraskan tujuan sadar (mau kaya) dengan tujuan bawah sadar (tetap aman/mulia).","sukses,gagal,bisnis,uang",9
adult,"Dewasa: Public Speaking Eksekutif","Saya direktur tapi gagap kalau meeting besar.","Executive Presence bisa dibangun. Kami hilangkan 'Imposter Syndrome' (merasa tidak pantas memimpin). Teknik 'Circle of Excellence' membuat kharisma Anda keluar alami. Suara menjadi lebih berwibawa dan pikiran tetap tenang meski dicecar pertanyaan sulit.","bos,rapat,gagap,pemimpin",9
islamic,"Gangguan Jin vs Psikologis","Saya sering mimpi buruk, ini jin atau stres?","Bisa dua-duanya. Di Albashiro, kami screening dulu. Jika saat didengarkan ayat Ruqyah ada reaksi fisik ekstrem, kami sarankan Ruqyah. Tapi seringkali mimpi buruk adalah 'sampah emosi' siang hari yang belum tuntas. Dengan membersihkan emosi dan memaafkan sebelum tidur (Sleep Hypnosis Islami), mimpi buruk biasanya hilang tanpa perlu pengusiran jin.","mimpi,buruk,jin,setan",8
islamic,"Terapi Ikhlas","Gimana caranya ikhlas? Susah banget teorinya.","Ikhlas itu 'keterampilan jiwa', bisa dilatih. Dalam trance, kami ajak Anda melepas kemelekatan (attachment) pada objek/orang yang hilang. Kami visualisasikan Anda menyerahkan beban itu langsung ke 'Tangan' Allah. Rasa ringan yang muncul setelahnya adalah indikator ikhlas. Bukan melupakan, tapi tidak lagi sakit saat mengingatnya.","ikhlas,rela,lepas,berat",10
islamic,"Khusyuk dalam Dzikir","Dzikir cuma di lisan, hati kemana-mana.","Kami ajarkan 'Dzikir Nafas'. Menyelaraskan lafaz Allah dengan irama napas dalam kondisi Alpha. Saat tubuh rileks, hijab-hijab duniawi tersingkap, rasa manisnya iman (Halawatul Iman) bisa dirasakan. Dzikir menjadi getaran di dada, bukan cuma suara di mulut.","dzikir,ingat,allah,hati",9
islamic,"Menghapus Dendam","Saya benci sekali sama orang yang menipu saya.","Dendam itu seperti minum racun tapi berharap orang lain yang mati. Terapi 'Forgiveness' kami bukan untuk membenarkan perbuatan penipu, tapi untuk membebaskan DIRI ANDA dari penjara kebencian. Kami memutus tali emosi dengan penipu itu, sehingga Anda bisa move on dan rezeki kembali lancar. Hati yang sempit susah menarik rezeki.","dendam,benci,maaf,tipu",9
islamic,"Syukur Therapy","Merasa hidup gak adil, iri sama orang lain.","Penyakit hati 'Hasad' membakar kebaikan. Kami lakukan terapi 'Re-orientasi Fokus'. Bawah sadar dilatih untuk melihat nikmat yang ADA, bukan yang HILANG. Kami ajak Anda mensyukuri hal kecil (napas, detak jantung) dalam kondisi deep trance, yang efeknya ribuan kali lebih kuat daripada sekadar mengucap Alhamdulillah di bibir.","syukur,iri,adil,nikmat",8
islamic,"Taubat Nasuha Therapy","Merasa dosa banyak, putus asa dari rahmat Allah.","Rasa bersalah berlebihan bisa jadi penyakit. Kami bimbing Anda dalam sesi 'Spiritual Rebirth'. Mengakui dosa, menangisinya, lalu menerima janji Allah yang Maha Pengampun. Kami bantu Anda memaafkan diri sendiri (Self-Forgiveness) agar bisa memulai lembaran baru tanpa bayang-bayang masa lalu.","dosa,taubat,hina,allah",9
conditions,"LGBT (Ego-Dystonic)","Saya punya ketertarikan sesama jenis tapi ingin berubah (ingin normal).","Kami melayani klien yang mengalami konflik batin (Ego-Dystonic) dan secara sadar INGIN berubah kembali ke fitrah. Pendekatan kami non-judgmental. Kami telusuri akar (misal: trauma figur ayah/ibu, pelecehan masa kecil). Kami kuatkan identitas maskulin/feminin asli Anda dan kurangi ketertarikan yang tidak diinginkan secara bertahap. *Hanya bagi yang sukarela.*","lgbt,gay,lesbi,normal",9
conditions,"Gagap (Stuttering)","Saya gagap sejak kecil kalau ngomong.","Gagap seringkali masalah kecemasan, bukan lidah. Otak berpikir lebih cepat dari mulut. Kami ajarkan teknik relaksasi pita suara dan 'Slow Talk'. Kami cari trauma masa kecil (mungkin pernah ditertawakan/dibentak) dan sembuhkan. Saat kepercayaan diri tumbuh, bicara menjadi jauh lebih lancar.","gagap,bicara,bata,lidah",8
conditions,"Tinnitus (Telinga Berdenging)","Telinga berdenging terus kata dokter karena stres.","Tinnitus psikosomatis bisa dikelola. Kami gunakan teknik 'Dial Control'. Dalam imajinasi, Anda memutar tombol volume dengingan itu menjadi kecil. Atau teknik 'Reframing', mengubah suara denging menjadi suara jangkrik malam yang menenangkan, sehingga otak mengabaikannya (habituasi) dan Anda bisa tidur nyenyak.","telinga,denging,bunyi,stres",7
process,"Rekaman Audio","Bolehkah saya rekam sesinya?","Demi privasi dan efektivitas, rekaman video/suara full sesi oleh klien tidak disarankan karena bisa mengganggu fokus Anda (mikirin rekaman). TAPI, terapis kami AKAN membuatkan rekaman audio khusus (Anchor/Sugesti) di akhir sesi yang memang didesain untuk Anda bawa pulang dan dengarkan setiap hari.","rekam,audio,bawa,pulang",7
process,"Jumlah Sesi","Berapa sesi sampai sembuh total?","Tiap orang beda (unik). Kasus ringan (fobia simpel) bisa 1-2 sesi. Kasus kompleks (depresi, trauma masa kecil) rata-rata 4-8 sesi. Kami tidak pernah menahan klien lama-lama. Prinsip kami: 'Secepat mungkin, seefektif mungkin'. Kemajuan biasanya sudah terasa signifikan sejak sesi pertama.","berapa,kali,sesi,lama",9
process,"Pendamping","Boleh ditemani masuk ruangan?","Untuk klien dewasa, sesi terapi dilakukan 'One-on-One' agar privasi total dan klien bisa jujur tanpa sungkan. Pendamping menunggu di ruang tunggu. KECUALI untuk anak-anak, orang tua boleh mendampingi di awal (induksi), lalu menunggu di luar saat terapi inti, atau sesuai kebijakan terapis demi hasil terbaik.","teman,antar,masuk,ruang",7
policies,"Jadwal Weekend","Buka hari Sabtu/Minggu? Saya kerja.","Ya, Albashiro buka setiap hari termasuk Sabtu dan Minggu untuk memfasilitasi karyawan. Namun, slot weekend adalah yang paling cepat penuh (best seller). Kami sarankan booking minimal 1-2 minggu sebelumnya untuk jadwal weekend.","sabtu,minggu,libur,buka",8
policies,"Home Visit","Bisa panggil terapis ke rumah?","Kami menyediakan layanan Home Visit untuk kasus khusus (misal: stroke, agoraphobia parah, atau privasi VIP). Ada biaya tambahan untuk transport dan waktu perjalanan (charge per jam). Lingkungan rumah harus kondusif (tenang, tidak berisik, ada kursi nyaman) agar terapi efektif.","rumah,panggil,datang,visit",7
faq_general,"Skeptis","Saya orangnya logis dan susah percaya, bisa dihipnotis?","Justru orang cerdas dan logis paling mudah dihipnotis! Karena hipnosis butuh fokus. Orang yang 'susah' adalah yang punya gangguan fokus atau takut berlebihan. Di Albashiro, kami jelaskan mekanisme ilmiahnya dulu sampai logika Anda menerima (Critical Factor terbuka), baru kita mulai terapi. Jadi gak perlu 'percaya buta', cukup ikuti instruksi.","logis,susah,kritis,percaya",8
faq_general,"Tidur Saat Sesi","Kalau saya ketiduran pas terapi gimana?","Gak masalah. Bawah sadar tetap mendengar (pendengaran adalah indra terakhir yang tidur). Terapis kami terlatih membedakan 'trance dalam' dan 'tidur pulas'. Jika Anda tidur pulas (mengorok), kami akan bangunkan sedikit atau menggunakan teknik 'Sleep Hypnosis'. Sesi tetap efektif.","tidur,ngorok,dengar,bablas",7
conditions,"Nervous Mengemudi","Baru bisa nyetir tapi takut bawa mobil ke jalan raya.","Driving Anxiety wajar bagi pemula. Kami bantu percepat adaptasi mental. Kami visualisasikan Anda menyetir dengan tenang, refleks bagus, dan waspada. Kami hilangkan bayangan kecelakaan yang menghantui. Anda akan merasa menyatu dengan mobil dan jalan raya, bukan melawannya.","nyetir,mobil,takut,jalan",7
conditions,"Takut Hamil (Tokophobia)","Nikah lama tapi nunda hamil karena takut melahirkan.","Tokophobia bisa diatasi. Kami bongkar 'cerita horor' melahirkan yang pernah Anda dengar/tonton. Kami ganti dengan pemahaman bahwa tubuh wanita didesain sempurna untuk melahirkan. Kami tanamkan anchor relaksasi rahim. Banyak klien kami akhirnya hamil dan melahirkan dengan nyaman (Gentle Birth) setelah terapi.","hamil,lahir,sakit,takut",8
conditions,"Homesick","Anak mau mondok tapi nangis minta pulang terus (Homesick).","Persiapan mental santri baru. Kami bantu anak membangun kemandirian dan tujuan mulia menuntut ilmu (Big Why). Rasa rindu pada orang tua divalidasi, tapi diubah energinya menjadi doa dan semangat belajar. Kami beri teknik 'Telepati Hati' (kirim doa) saat rindu, agar anak merasa ortu selalu dekat di hati.","pondok,pulang,rindu,nangis",8
conditions,"Takut Menelan (Phagophobia)","Pernah keselek, sekarang jadi takut nelan nasi.","Trauma tersedak bisa bikin berat badan turun drastis. Kami gunakan regresi ke momen tersedak itu, lalu 'menetralkan' rasa paniknya. Kami ajarkan relaksasi otot tenggorokan. Dimulai dari membayangkan menelan air, bubur, hingga nasi, sampai bawah sadar yakin bahwa menelan itu refleks alami yang aman.","makan,telan,keselek,takut",8
conditions,"Takut Dokter (White Coat Syndrome)","Tensi selalu tinggi kalau diperiksa dokter, padahal di rumah normal.","White Coat Hypertension terjadi karena cemas lihat jas putih/RS. Kami latih Anda untuk rileks instan saat mencium bau RS atau melihat dokter. Visualisasikan dokter sebagai 'teman yang membantu', bukan 'hakim yang memvonis'. Hasil cek kesehatan jadi lebih akurat.","dokter,tensi,darah,rs",7
conditions,"Sindrom Pensiun (Post Power)","Stres setelah pensiun, merasa gak berguna.","Post Power Syndrome adalah krisis identitas. Kami bantu Anda menemukan 'Tujuan Baru' pasca kerja. Menggeser nilai diri dari 'Apa Jabatan Saya' menjadi 'Siapa Saya & Apa Manfaat Saya'. Mempersiapkan masa tua yang bahagia, produktif, dan dekat dengan Allah.","pensiun,tua,kerja,stres",8
islamic,"Gangguan Tidur (Tindihan)","Sering 'tindihan' (Sleep Paralysis), takut tidur.","Secara medis ini kelumpuhan tidur (otak bangun, badan belum). Secara budaya sering dikaitkan makhluk halus. Kami edukasi mekanismenya agar tidak takut. Kami ajarkan teknik: 'Jangan lawan, rileks saja, gerakkan kelingking kaki'. Ditambah doa perlindungan sebelum tidur, frekuensi tindihan biasanya berkurang drastis karena stres (pemicu utamanya) hilang.","tindihan,paralysis,setan,bangun",8
conditions,"Takut Kematian (Thanatophobia)","Cemas berlebih mikirin mati atau kiamat.","Thanatophobia sering dialami orang yang merasa 'belum siap'. Pendekatan kami spiritual: Memperbaiki hubungan dengan Allah. Mengubah persepsi 'Mati = Akhir Menakutkan' menjadi 'Mati = Gerbang Pertemuan dengan Sang Kekasih'. Saat iman dan amal disiapkan, rasa takut berubah menjadi rasa harap (Raja') dan tenang.","mati,kiamat,takut,ajal",9
process,"Jarak Sesi","Berapa jarak ideal antar sesi?","Idealnya 1 minggu sekali. Ini memberi waktu bagi pikiran bawah sadar untuk memproses sugesti (inkubasi) dan Anda mempraktekkan PR di dunia nyata. Kalau terlalu dekat (tiap hari) kurang efektif, kalau terlalu jauh (sebulan sekali) momentumnya hilang.","jarak,waktu,minggu,jadwal",7
pricing,"Asuransi","Bisa pakai BPJS atau asuransi kantor?","Saat ini hipnoterapi belum dicover BPJS Kesehatan. Namun, beberapa asuransi swasta dengan plafon 'Reimburse Mental Health/Psikolog' mungkin bisa, tergantung polis Anda (kami bisa bantu buatkan invoice resmi). Silakan cek ke agen asuransi Anda dulu.","bpjs,asuransi,klaim,bayar",8
faq_general,"Tidak Bisa Visualisasi","Saya gak bisa bayangin gambar (Aphantasia), bisa terapi?","Bisa! Hipnoterapi tidak harus visual. Kalau gak bisa 'melihat', Anda bisa 'merasakan' (kinestetik) atau 'berpikir' (auditori). Contoh: Terapis bilang 'Bayangkan jeruk', kalau gak muncul gambar jeruk, cukup pikirkan 'Saya sedang pegang jeruk'. Efeknya ke otak sama saja. Terapis kami fleksibel menyesuaikan modalitas Anda.","bayang,gambar,visual,susah",7
faq_general,"Anak Autis","Bisa terapi untuk anak Autis/ABK?","Hipnoterapi TIDAK bisa menyembuhkan Autisme (karena itu kondisi neurobiologis). TAPI, kami bisa membantu mengelola *gejala penyertanya*: mengurangi tantrum, melatih fokus, atau mengurangi kecemasan sosial pada anak ABK yang High Functioning. Perlu konsultasi awal untuk melihat potensi keberhasilannya.","autis,abk,special,tantrum",7
conditions,"Takut Anjing","Sangat takut anjing, lihat dari jauh aja keringat dingin.","Fobia anjing (Cynophobia) umum terjadi. Desensitisasi dilakukan dengan visualisasi. Anda akan dibimbing untuk merasa aman melihat gambar anjing lucu, lalu anjing di seberang jalan, dst. Kami netralkan memori pernah dikejar/digigit anjing di masa lalu.","anjing,guguk,takut,gigit",8
conditions,"Takut Kecoak (Katsaridaphobia)","Jijik dan takut setengah mati sama kecoak.","Kecoak sering diasosiasikan dengan kotoran. Kami ubah respon 'Fight or Flight' (lari/teriak) menjadi respon 'Calm & Handle' (tenang & atasi/menghindar santai). Sugesti visual bisa mengubah kecoak terlihat seperti mainan plastik yang tidak berbahaya di mata pikiran Anda.","kecoak,serangga,jijik,terbang",7
islamic,"Marah pada Allah","Saya kecewa sama takdir Allah, kenapa saya diuji berat?","Ini fase wajar saat duka mendalam. Kami sediakan ruang aman (holding space) untuk Anda menumpahkan kekecewaan tanpa dihakimi 'kurang iman'. Setelah emosi validasi keluar, baru kami bimbing perlahan melihat Hikmah di balik ujian. Rekonsiliasi hubungan dengan Allah adalah puncak kesembuhan jiwa.","marah,takdir,allah,kecewa",9
conditions,"Hypno-Beauty","Bisa bikin cantik/awet muda (Inner Beauty)?","Stres bikin tua cepat. Hipnoterapi melepas tegangan otot wajah (botox alami) dan memancarkan aura ketenangan. Saat Anda merasa damai dan percaya diri (Self-Love), orang lain akan melihat Anda lebih menarik dan 'bercahaya'. Cantik itu dimulai dari pikiran (Inner Beauty).","cantik,muda,aura,wajah",7
category,topic,question,answer,keywords,priority
relationships,"Selingkuh: Trauma Pengkhianatan","Suami ketahuan selingkuh, hati saya hancur tapi demi anak bertahan.","Bertahan dengan luka itu menyiksa. Terapi kami fokus pada 'Trauma Release' untuk istri. Kami bantu Anda membuang rasa sakit, marah, dan perasaan 'tidak berharga' akibat pengkhianatan. Tujuannya bukan membenarkan perilaku suami, tapi agar Anda bisa mengambil keputusan (bertahan atau pisah) dengan hati tenang dan logis, bukan karena emosi sesaat.","selingkuh,khianat,suami,sakit hati",10
relationships,"Trust Issue","Susah percaya pasangan karena masa lalu.","Trust issue adalah mekanisme pertahanan diri yang 'kebablasan'. Kami ajak Anda berdamai dengan masa lalu (mantan atau orang tua). Kami program ulang bahwa 'Pasangan Sekarang' berbeda dengan 'Masa Lalu'. Kami bangun rasa aman dari dalam diri, sehingga Anda tidak posesif berlebihan yang justru merusak hubungan.","percaya,curiga,cemburu,posesif",9
relationships,"Komunikasi Pasutri","Kami sering ribut masalah sepele, gak nyambung.","Masalah komunikasi seringkali karena beda 'Bahasa Kasih' dan ego. Hipnoterapi Pasutri (Couple Session) membantu menyelaraskan frekuensi. Kami hilangkan blok mental yang membuat Anda defensif saat dikritik. Kami tanamkan anchor 'Kasih Sayang' agar saat debat memanas, otomatis salah satu bisa meredakan suasana dengan tenang.","ribut,cekcok,komunikasi,suami istri",8
relationships,"Mertua Toxic","Stres menghadapi mertua yang selalu ikut campur.","Konflik mertua-menantu sangat menguras energi. Kami bantu Anda membangun 'Shield Mental'. Ucapan pedas mertua disugestikan hanya sebagai 'suara angin' yang tidak menembus hati. Kami juga bantu Anda bersikap asertif (tegas tapi santun) tanpa rasa bersalah, menjaga batas privasi rumah tangga Anda.","mertua,ipar,konflik,keluarga",8
relationships,"Sexless Marriage","Sudah lama tidak berhubungan intim, rasanya hambar.","Hilangnya gairah seringkali bukan masalah fisik, tapi tumpukan kekecewaan kecil yang tidak selesai. Kami lakukan 'Emotional Detox' untuk pasutri. Membuang sampah emosi lama agar rasa cinta dan ketertarikan fisik bisa tumbuh kembali seperti awal menikah.","seks,hambar,dingin,bosan",8
relationships,"Sandwich Generation","Stres biayain orang tua dan anak sekaligus, capek banget.","Beban Sandwich Generation rentan burnout. Kami bantu Anda mengelola stres dan rasa bersalah (Guilt Trip). Kami perkuat 'Wadah Mental' Anda agar kapasitas sabar meningkat. Penting juga memprogram mindset 'Rezeki Berkah' agar Anda tidak merasa membiayai orang tua sebagai beban, tapi sebagai pintu rezeki.","sandwich,beban,biaya,orang tua",9
relationships,"Jodoh (Mental Block)","Umur sudah matang tapi susah dapat jodoh, selalu gagal.","Seringkali ada blok bawah sadar seperti 'Nikah = Sengsara' (mungkin lihat ortu dulu sering berantem). Kami hancurkan blok ini. Kami pasang magnet 'Love Attraction'. Anda akan memancarkan aura siap menikah yang positif, bukan aura 'desperate/ngarep' yang justru menjauhkan jodoh berkualitas.","jodoh,nikah,single,jomblo",9
career,"Money Block: Susah Kaya","Kerja keras banting tulang tapi uang gak kumpul-kumpul.","Mungkin Anda punya 'Money Block' seperti keyakinan 'Uang adalah akar kejahatan' atau 'Orang kaya itu pelit'. Bawah sadar Anda akan menolak kekayaan demi menjaga Anda tetap 'baik'. Kami re-install mindset: 'Uang adalah alat ibadah' dan 'Saya pantas kaya & dermawan'. Rezeki akan mengalir lebih lancar saat blok mental dibuka.","kaya,uang,rezeki,miskin",9
career,"Interview Kerja","Selalu gagal pas wawancara kerja karena grogi.","Interview adalah ajang jual diri. Kami gunakan teknik 'Mirroring Confidence'. Anda dilatih masuk ke ruangan dengan postur dan vibrasi pemenang. Jawaban-jawaban cerdas akan keluar otomatis (unconscious competence) tanpa tersendat. Kami hilangkan rasa terintimidasi oleh HRD/User.","kerja,interview,wawancara,gugup",8
career,"Burnout Pekerjaan","Rasanya muak banget sama kantor, mau resign tapi butuh gaji.","Burnout tanda jiwa lelah, bukan cuma badan. Sesi relaksasi mendalam (Deep Rest) setara tidur berkualitas berjam-jam. Kami bantu Anda menemukan kembali 'Makna' dalam pekerjaan atau keberanian menyusun rencana exit strategy yang matang tanpa rasa takut berlebihan.","burnout,lelah,kerja,stres",8
career,"Bossy/Leadership","Saya baru jadi manajer tapi sungkan sama bawahan.","Leadership butuh ketegasan. Kami install program 'Charismatic Leader'. Anda akan merasa nyaman memberi perintah dan teguran secara objektif. Rasa 'Gak Enakan' (People Pleaser) dikurangi proporsinya, diganti dengan profesionalisme yang disegani, bukan ditakuti.","bos,pemimpin,manajer,sungkan",8
career,"Korban PHK","Depresi habis di-PHK, merasa tidak berguna.","PHK bisa meruntuhkan harga diri pria/wanita karir. Kami bantu proses penerimaan (Acceptance). Kami ubah mindset 'Korban' menjadi 'Pemenang yang sedang istirahat'. Kami bangkitkan motivasi dan kreativitas untuk melihat peluang usaha atau karir baru. Rezeki Allah tidak putus karena putusnya hubungan kerja.","phk,pecat,kerja,nganggur",9
career,"Bisnis Bangkrut","Trauma buka usaha lagi karena pernah bangkrut total.","Trauma kegagalan bisnis mirip trauma kecelakaan. Kami netralkan rasa sakit kehilangan aset itu. Kami ambil hikmah/pembelajarannya, buang emosi negatifnya. Anda akan siap melangkah lagi dengan kalkulasi yang lebih matang, tanpa bayang-bayang ketakutan masa lalu.","bangkrut,rugi,usaha,trauma",8
