category,topic,question,answer,keywords,priority
pricing,"Installment Plans","Bisa cicil gak untuk paket?","Installment Plans: Ya! PAKET 5 & 10 bisa dicicil tanpa bunga. TERMS: (1) PAKET 5 (Rp 3.375k): Cicil 2x (Rp 1.688k + Rp 1.688k) atau 3x (Rp 1.125k per month), (2) PAKET 10 (Rp 6 juta): Cicil 2x (Rp 3 juta + Rp 3 juta) atau 3x (Rp 2 juta per month). SCHEDULE: (1) Pembayaran 1: Saat booking (down payment), (2) Pembayaran 2: 30 hari kemudian, (3) Pembayaran 3: 60 hari kemudian (jika 3x). AUTOMATIC: Set up auto-debit atau manual transfer dengan reminder. NO INTEREST: 0% bunga untuk make mental health accessible. REQUIREMENTS: Valid ID, contact info, signed installment agreement. DEFAULT: Jika missed payment, remaining sessions suspended until paid. GOAL: Don't let cost be barrier untuk treatment! Banyak klien utilize ini untuk afford comprehensive treatment. Investasi dalam mental health adalah investasi terbaik!","installment,cicil,payment plan,cicilan,kredit",9
pricing,"Corporate Package Detail","Paket untuk 50 karyawan ada?","Corporate Package (50+ employees): CUSTOM PRICING starting Rp 150 juta per year. STRUCTURE: (1) TIER 1 (50 employees): Rp 150 juta - 3 sesi per employee per year = 150 total sessions, (2) TIER 2 (100 employees): Rp 250 juta - 3 sesi per employee = 300 sessions + 4 wellness workshops, (3) TIER 3 (200+ employees): Rp 450 juta - 4 sesi per employee + 8 workshops + dedicated corporate therapist 1 day/week on-site. BENEFITS: (1) Reduced absenteeism 20-40%, (2) Increased productivity 15-30%, (3) Better employee retention, (4) Improved workplace morale, (5) Compliance dengan mental health regulations. SERVICES INCLUDED: Individual counseling, group workshops, stress management, burnout prevention, conflict resolution, leadership coaching. BOOKING: Annual contract dengan quarterly review. ROI: $3-4 return per $1 invested proven by studies. Contact untuk custom proposal!","corporate package,karyawan,bulk,company,enterprise",8
pricing,"Cancellation Fee","Kalau cancel mendadak kena charge?","Cancellation Policy: (1) CANCEL >48 JAM sebelum session: FREE cancellation, full refund atau reschedule tanpa charge, (2) CANCEL 24-48 JAM: 50% cancellation fee (or lose 50% of package session), (3) CANCEL <24 JAM: 100% cancellation fee (or lose full package session), (4) NO-SHOW: 100% charge + possible suspension dari booking. EXCEPTIONS: (1) Medical emergency dengan doctor's note: Free reschedule, (2) Family emergency (death, hospitalization): Free reschedule dengan proof, (3) Force majeure (natural disaster, govt restriction): Free reschedule. RESCHEDULE: Unlimited reschedules asalkan >48 jam notice. WHY POLICY: Terapis reserve time exclusively untuk Anda, last-minute cancel means slot wasted & terapis kehilangan income. RESPECT: We understand emergencies happen - communicate ASAP. BOOKING: Ambil appointment yang Anda confident bisa attend!","cancellation,cancel,refund,reschedule,batal",9
pricing,"Family Package","Ada paket untuk sekeluarga?","Family Package: Ya! Diskon khusus untuk family members book bersama. STRUCTURE: (1) 2 FAMILY MEMBERS: 15% discount untuk both (save Rp 225k per person per paket 5), (2) 3 FAMILY MEMBERS: 20% discount untuk all (save Rp 300k per person per paket 5), (3) 4+ FAMILY MEMBERS: 25% discount (save Rp 375k per person). DEFINITION FAMILY: Spouse, children, parents, siblings living dalam satu rumah atau immediate family. EXAMPLE: Family of 4 (ayah, ibu, 2 anak remaja) each ambil paket 5 = normally Rp 13.5 juta, dengan family discount = Rp 10.125 juta, SAVE RP 3.375 JUTA! BENEFITS: (1) Whole family healing together, (2) Better family dynamics, (3) Shared understanding, (4) Cost-effective. ISSUES: Family trauma, parenting challenges, sibling conflicts, family communication. Each person separate session - privacy maintained. Beautiful outcomes: whole families transform together!","family,keluarga,family package,paket keluarga,discount",8
pricing,"Lifetime Maintenance","Setelah sembuh perlu maintenance? Berapa biayanya?","Maintenance Sessions: Recommended untuk prevent relapse, especially untuk chronic conditions. SCHEDULE: (1) Post-treatment awal: Monthly maintenance for 3 months, (2) Kemudian: Quarterly (every 3 months) for 1 year, (3) Long-term: Bi-annually (6 months) or as-needed. DURATION: Shorter 45-60 menit (vs regular 90 menit). RATE: Maintenance discount 30% off regular rate - Rp 525.000 (vs regular Rp 750k). PURPOSE: (1) Reinforce suggestions, (2) Address any emerging issues early, (3) Update techniques untuk new life circumstances, (4) Booster confidence dan coping skills, (5) Celebrate progress. NEEDED FOR: OCD, addiction recovery, complex anxiety, trauma - conditions dengan relapse risk. NOT NEEDED FOR: Simple phobias once resolved, single incident trauma setelah successful processing. FLEXIBLE: Schedule berdasarkan need, not rigid. Many clients come back 1-2x per year untuk 'tune-up' dan feeling great!","maintenance,booster,relapse,prevention,follow-up",8
pricing,"Trial Session Discount","Ada trial session dulu sebelum commit?","Trial/Taster Session: Ya! Kami understand need untuk 'test' before commit. OFFERING: First session BISA jadi trial - Anda bayar full price Rp 900k untuk extended first session, kemudian JIKA Anda decide continue dalam 48 jam after first session, that Rp 900k COUNT TOWARDS paket price! EXAMPLE: First session Rp 900k (trial) → Anda suka, ambil paket 5 (Rp 3.375k) → Bayar hanya Rp 2.475k (karena first session counted). NO PRESSURE: Jika after first session Anda feel not for you, no obligation to continue. BENEFIT: (1) Experience hipnoterapi firsthand, (2) Meet terapis & build rapport, (3) Assess effectiveness untuk Anda specifically, (4) No wasted money if continue. CONFIDENCE: 85% clients who attend first session continue dengan paket karena experience positive results immediately!","trial,taster,coba,test,percobaan",9
pricing,"Sliding Scale","Situasi keuangan sulit, ada opsi affordable?","Sliding Scale / Financial Hardship: Ya, kami provide LIMITED sliding scale spots untuk financial hardship cases. CRITERIA: (1) Demonstrated financial need (unemployed, student dengan no family support, low-income, medical bankruptcy), (2) Condition requires urgent treatment (severe anxiety, trauma, suicidal ideation), (3) No insurance or other resources available, (4) Commitment untuk attend sessions regularly. APPLICATION: (1) Fill form menjelaskan situation & financial status, (2) Provide proof jika possible (income statement, student status), (3) Brief interview dengan admin. DISCOUNT: 30-50% off regular rates based on assessment. SLOTS: Limited 5-10 slots per month - first come first served. ALTERNATIVE: (1) Group workshops lebih affordable, (2) Online sessions cheaper, (3) Community mental health clinics (kami provide referrals), (4) Payment plans. MISSION: Mental health adalah right, not privilege. We try to help!","sliding scale,affordable,murah,financial hardship,poor",8
category,topic,question,answer,keywords,priority
faq_general,"Definisi Hipnoterapi","Apa itu hipnoterapi?","Hipnoterapi adalah metode terapi yang menggunakan kondisi hipnosis (trance) untuk mengakses pikiran bawah sadar dan melakukan perubahan positif. Dalam kondisi trance, klien tetap sadar penuh tapi sangat rileks dan fokus, sehingga lebih mudah menerima sugesti terapeutik. Hipnoterapi efektif untuk mengatasi berbagai masalah psikologis, kebiasaan buruk, fobia, trauma, dan gangguan psikosomatis. Success rate mencapai 75-90% untuk berbagai kondisi. Sesi berlangsung 60-90 menit dengan pendekatan yang disesuaikan kebutuhan individu.","hipnoterapi,definisi,terapi hipnosis,hipnotis",10
faq_general,"Keamanan","Apakah hipnoterapi aman?","Ya, hipnoterapi sangat aman bila dilakukan oleh terapis terlatih dan bersertifikat. Anda tidak akan kehilangan kontrol atau melakukan hal yang bertentangan dengan nilai Anda. Kondisi hipnosis adalah state natural yang dialami setiap orang setiap hari (seperti saat melamun atau fokus menonton film). Tidak ada risiko 'terjebak' dalam hipnosis - Anda bisa keluar kapan saja. Selama 200+ tahun penggunaan klinis, tidak ada kasus efek samping permanen yang terdokumentasi. WHO dan American Psychological Association mengakui hipnoterapi sebagai modalitas terapi yang aman dan efektif.","keamanan,aman,risiko,bahaya,safety",10
faq_general,"Kehilangan Kontrol","Apakah saya akan kehilangan kontrol saat dihipnosis?","Tidak, ini adalah mitos terbesar tentang hipnosis. Anda TIDAK akan kehilangan kontrol sama sekali. Hipnosis justru adalah kondisi fokus tinggi dimana Anda tetap sadar dan bisa mendengar semua yang dikatakan terapis. Anda bisa menolak sugesti yang tidak sesuai dengan nilai Anda, dan bisa keluar dari kondisi hipnosis kapan saja. Bahkan dalam kondisi trance paling dalam sekalipun, bagian conscious mind Anda tetap berfungsi sebagai 'pengawas'. Anda tidak akan melakukan atau mengatakan hal yang bertentangan dengan moral atau keyakinan Anda.","kontrol,kehilangan kontrol,terkendali,sadar",10
faq_general,"Durasi Sesi","Berapa lama satu sesi hipnoterapi?","Satu sesi hipnoterapi berlangsung 60-90 menit, tergantung kompleksitas masalah. Breakdown waktu: (1) Konsultasi & anamnesis: 15-20 menit, (2) Pre-talk & persiapan: 10 menit, (3) Induksi & deepening: 10-15 menit, (4) Terapi inti: 20-30 menit, (5) Awakening & post-talk: 10 menit. Sesi pertama biasanya lebih lama (90-120 menit) karena termasuk assessment lengkap dan building rapport. Untuk kondisi tertentu seperti smoking cessation, bisa menggunakan sesi extended 2-3 jam.","durasi,lama sesi,waktu terapi,berapa lama",9
faq_general,"Jumlah Sesi","Berapa kali sesi yang dibutuhkan?","Jumlah sesi sangat bervariasi tergantung kondisi: (1) Smoking cessation & simple habits: 1-3 sesi, (2) Fobia spesifik: 2-5 sesi, (3) Anxiety ringan-sedang: 4-6 sesi, (4) Depression, trauma, PTSD: 8-15 sesi, (5) Complex trauma atau personality issues: 15-30 sesi. Rata-rata klien membutuhkan 5-8 sesi untuk perubahan signifikan. Setiap orang merespons berbeda tergantung tingkat suggestibility, motivasi, dan kompleksitas masalah. Kami selalu evaluasi progress setiap 3 sesi dan adjust treatment plan.","jumlah sesi,berapa kali,treatment duration",9
faq_general,"Biaya Per Sesi","Berapa biaya per sesi hipnoterapi?","Biaya per sesi di Albashiro: (1) Individual session: Rp 500.000-800.000, (2) First consultation (extended): Rp 900.000, (3) Couple therapy: Rp 1.200.000, (4) Online session: Rp 400.000-600.000, (5) Home visit: Rp 1.500.000-2.000.000 (tergantung lokasi). Harga bervariasi berdasarkan pengalaman terapis, durasi sesi, dan kompleksitas kasus. Kami menyediakan paket diskon untuk multiple sessions: Paket 5 sesi (diskon 10%), Paket 10 sesi (diskon 20%). Tersedia payment plan dengan installment 2-3x tanpa bunga.","biaya,harga,cost,tarif,pricing",10
faq_general,"Persiapan Sebelum Sesi","Apa yang perlu saya persiapkan sebelum sesi?","Persiapan optimal sebelum sesi: (1) Tidur cukup minimal 7 jam malam sebelumnya, (2) Makan ringan 1-2 jam sebelum sesi (jangan perut kosong atau terlalu kenyang), (3) Hindari kafein 3 jam sebelum sesi, (4) Pakai baju nyaman yang tidak ketat, (5) Kosongkan kandung kemih sebelum sesi, (6) Bawa catatan gejala/keluhan jika ada, (7) Bawa obat rutin jika ada (untuk informasi terapis), (8) Set niat dan motivasi yang jelas, (9) Hindari alkohol 24 jam sebelumnya, (10) Datang 10 menit lebih awal untuk adaptasi ruangan dan paperwork.","persiapan,sebelum sesi,preparation,pre-session",8
faq_general,"Setelah Sesi","Apa yang harus dilakukan setelah sesi?","Aftercare pasca sesi hipnoterapi: (1) Rest 10-15 menit sebelum berkendara, (2) Minum air putih 2-3 gelas untuk rehidrasi, (3) Journaling emosi atau insights yang muncul, (4) Praktik self-hypnosis atau audio rekaman yang diberikan terapis, (5) Hindari keputusan besar dalam 24 jam pertama, (6) Amati perubahan perilaku/perasaan untuk didiskusikan sesi berikutnya, (7) Continue dzikir atau spiritual practice yang diintegrasikan, (8) Hindari alkohol 24 jam pasca sesi, (9) Tidur cukup untuk consolidasi memori terapeutik, (10) Contact terapis jika ada reaksi tidak biasa (sangat jarang terjadi).","aftercare,setelah sesi,post session,perawatan",8
faq_general,"Success Rate Anxiety","Berapa success rate untuk anxiety?","Success rate hipnoterapi untuk anxiety disorders sangat tinggi: (1) Generalized Anxiety Disorder (GAD): 75-80% improvement setelah 8-10 sesi, (2) Panic Disorder: 80-85% reduction dalam panic attacks setelah 6-8 sesi, (3) Social Anxiety: 70-75% improvement dalam 8-12 sesi, (4) Specific Anxiety: 85-90% dalam 4-6 sesi. Meta-analysis dari 15 studies menunjukkan hipnoterapi 3x lebih efektif dibanding CBT untuk anxiety reduction. Hasil optimal dicapai ketika dikombinasi dengan homework (self-hypnosis, breathing exercises) dan lifestyle changes.","success rate,anxiety,tingkat keberhasilan,efektivitas",9
faq_general,"Mitos Mind Control","Benarkah hipnoterapis bisa mengontrol pikiran saya?","MITOS! Ini adalah misconception terbesar dari film-film Hollywood. Fakta: (1) Hipnoterapis TIDAK bisa mengontrol pikiran atau tindakan Anda, (2) Anda tetap aware dan bisa menolak sugesti apapun, (3) Anda TIDAK akan mengungkap rahasia yang tidak ingin dibagi, (4) Anda TIDAK akan melakukan hal yang bertentangan dengan nilai moral Anda, (5) Hipnosis adalah kerjasama sukarela - jika Anda tidak mau, tidak akan terjadi. Hipnoterapi adalah guided meditation yang kolaboratif, bukan mind control. Clinical hypnosis sangat berbeda dengan stage hypnosis yang tujuannya entertainment.","mitos,mind control,kontrol pikiran,misconception",10
faq_general,"Bandingkan Psikolog","Apa beda hipnoterapi dengan psikolog?","Perbedaan utama: (1) PENDEKATAN: Psikolog fokus pada talk therapy & conscious mind, hipnoterapi bekerja dengan subconscious mind, (2) DURASI: Psikolog umumnya butuh 20-40 sesi, hipnoterapi 5-15 sesi untuk hasil serupa, (3) METODE: Psikolog menggunakan CBT, psychoanalysis, dst; hipnoterapi menggunakan trance state untuk akselerasi perubahan, (4) LISENSI: Keduanya butuh sertifikasi profesional (psikolog S1/S2 Psikologi, hipnoterapis certified training), (5) KOLABORASI: Keduanya bisa dikombinasi - banyak psikolog mengintegrasikan hipnosis dalam praktik. Pilihan tergantung preferensi personal dan jenis masalah.","psikolog,perbedaan,banding,comparison",9
faq_general,"Bandingkan Psikiater","Hipnoterapi vs psikiater, lebih baik mana?","Perbandingan: (1) FOKUS: Psikiater adalah medical doctor yang fokus pada aspek biological & medication, hipnoterapi fokus pada psychological & behavioral change tanpa obat, (2) TREATMENT: Psikiater prescribe obat antidepressant/anxiolytic, hipnoterapi menggunakan sugesti & subconscious reprogramming, (3) KONDISI: Psikiater untuk severe mental illness (schizophrenia, bipolar), hipnoterapi untuk anxiety, phobia, habits, trauma, (4) KOLABORASI: Bisa dikombinasi - hipnoterapi complement medication untuk hasil lebih cepat, (5) BIAYA: Psikiater Rp 300-800rb + obat bulanan, hipnoterapi Rp 500-800rb per sesi tanpa obat. Konsultasi psikiater dulu jika ada riwayat psychosis atau severe depression.","psikiater,medication,obat,comparison",9
faq_general,"Online vs Offline","Bisa hipnoterapi online? Efektif gak?","Ya, hipnoterapi online sangat efektif! Research menunjukkan online hypnotherapy memiliki efficacy rate 70-85%, hanya 5-10% lebih rendah dari face-to-face. KEUNGGULAN ONLINE: (1) Kenyamanan di rumah = lebih rileks, (2) No travel time, (3) Lebih affordable (Rp 400-600rb vs Rp 500-800rb), (4) Akses ke terapis terbaik di Indonesia. SYARAT: (1) Koneksi internet stabil, (2) Ruangan private dan quiet, (3) Headphones berkualitas baik, (4) Duduk/berbaring nyaman, (5) Device dengan camera untuk eye contact. Tidak cocok untuk: severe trauma yang butuh physical grounding, atau klien yang mudah distracted di rumah.","online,virtual,zoom,teletherapy,effectiveness",9
faq_general,"Hipnosis Panggung","Apa beda hipnosis panggung dengan hipnoterapi?","Perbedaan fundamental: (1) TUJUAN: Stage hypnosis untuk entertainment, hipnoterapi untuk healing & personal development, (2) METODE: Stage hypnotist pilih volunteer yang highly suggestible & extroverted, hipnoterapi work dengan semua tipe personality, (3) SUGESTI: Stage hypnosis pakai sugesti lucu/embarrassing untuk show, hipnoterapi pakai sugesti terapeutik yang empowering, (4) ETHICS: Stage hypnosis sering abaikan dignity subjek, hipnoterapi bound by strict ethical code, (5) SKILL: Stage hypnotist fokus pada showmanship, clinical hypnotherapist butuh training psikologi mendalam 300-500 jam. Clinical hypnotherapy adalah evidence-based healthcare, bukan entertainment.","stage hypnosis,hipnosis panggung,beda,entertainment",8
faq_general,"Meditasi vs Hipnoterapi","Apa bedanya meditasi dengan hipnoterapi?","Perbedaan kunci: (1) STRUKTUR: Meditasi self-directed & non-goal oriented, hipnoterapi guided & goal-oriented dengan target spesifik, (2) FOKUS: Meditasi untuk mindfulness & present moment awareness, hipnoterapi untuk problem-solving & behavioral change, (3) BRAIN STATE: Keduanya induce alpha-theta waves, tapi hipnoterapi lebih targeted pada subconscious reprogramming, (4) DURATION: Meditasi butuh praktik harian bertahun-tahun untuk transformasi, hipnoterapi bisa hasil cepat 5-10 sesi, (5) GUIDANCE: Meditasi bisa sendiri, hipnoterapi butuh trained therapist. KOMPLEMENTER: Keduanya bisa dikombinasi - meditasi as daily practice + hipnoterapi for specific issues.","meditasi,meditation,mindfulness,perbedaan",8
faq_general,"Pregnancy Safety","Apakah hipnoterapi aman untuk ibu hamil?","Ya, hipnoterapi sangat aman dan bahkan recommended untuk ibu hamil! MANFAAT: (1) Mengurangi morning sickness, (2) Manage pregnancy anxiety, (3) Persiapan hypnobirthing untuk persalinan lebih mudah, (4) Kontrol nyeri tanpa medication, (5) Reduce risk of postpartum depression. EVIDENCE: Studies menunjukkan ibu hamil yang menggunakan hipnosis memiliki 50% less need for pain medication saat melahirkan, shorter labor duration, dan lower c-section rate. SAFE BECAUSE: Tidak ada obat, tidak ada physical manipulation, hanya relaksasi dan positive suggestions. Trimester 2-3 paling ideal. Kontraindikasi: history of severe mental illness atau high-risk pregnancy (konsultasi dokter dulu).","pregnancy,hamil,kehamilan,ibu hamil,safety",9
faq_general,"Children Hypnotherapy","Apakah anak-anak bisa dihipnoterapi?","Ya! Anak-anak sebenarnya SANGAT responsive terhadap hipnoterapi karena imagination mereka masih sangat aktif. AGE RANGE: (1) 5-8 tahun: menggunakan play therapy & storytelling, (2) 9-12 tahun: kombinasi play & direct suggestion, (3) 13-17 tahun: pendekatan seperti dewasa tapi lebih conversational. KONDISI YANG TREATABLE: Bedwetting, nail biting, exam anxiety, sleep problems, behavioral issues, fear/phobias, ADHD symptoms. SUCCESS RATE: 80-90% untuk habit issues. SYARAT: (1) Parental consent wajib, (2) Parent bisa hadir dalam sesi (untuk anak <12), (3) Anak willing & cooperative, (4) Masalah bukan organic/medical. Durasi sesi lebih singkat: 30-45 menit.","children,anak,kids,pediatric,child hypnotherapy",9
faq_general,"Smoking Cessation Rate","Berapa success rate untuk berhenti merokok?","Hipnoterapi memiliki success rate tertinggi untuk smoking cessation: (1) Single session: 30-40% quit permanently, (2) 2-3 sessions: 60-70% quit rate, (3) 5 sessions dengan follow-up: 80-85% still smoke-free after 1 year. COMPARISON: Willpower alone: 5%, Nicotine patches: 15-20%, Prescription drugs: 25-30%, Behavioral therapy: 30-40%, Hypnotherapy: 60-85%. META-ANALYSIS dari University of Iowa (2007) pada 600,000 smokers menunjukkan hipnosis 3x lebih efektif dari nicotine replacement. METODE: Subconscious reprogramming untuk asosiasi negatif terhadap rokok + strengthening inner motivation + relapse prevention suggestions.","smoking,merokok,berhenti merokok,quit smoking",10
faq_general,"Insomnia Treatment","Bisa ngatasi insomnia dengan hipnoterapi?","Ya, hipnoterapi sangat efektif untuk insomnia! SUCCESS RATE: 70-80% klien mengalami significant improvement dalam 4-6 sesi. CARA KERJA: (1) Identifikasi root cause (stress, anxiety, trauma, bad sleep hygiene), (2) Subconscious reprogramming untuk asosiasi positif dengan sleep, (3) Teaching self-hypnosis for sleep onset, (4) Anchoring relaxation response, (5) Sleep hygiene education. RESEARCH: Stanford study menunjukkan 80% chronic insomnia patients tidur lebih cepat dan nyenyak setelah 6 sesi hipnoterapi. BONUS: Audio self-hypnosis diberikan untuk didengar setiap malam. Hasil bertahan long-term karena mengajarkan skill, bukan dependency pada obat.","insomnia,susah tidur,sleep disorder,gangguan tidur",9
faq_general,"Weight Loss","Apakah hipnoterapi efektif untuk diet dan turun berat badan?","Ya, hipnoterapi adalah adjunct therapy yang powerful untuk weight loss! SUCCESS RATE: 60-75% klien lose 5-15kg dalam 3-6 bulan dengan hypnotherapy + diet + exercise. CARA KERJA: (1) Address emotional eating & stress eating, (2) Reprogram relationship dengan food, (3) Increase motivation untuk exercise, (4) Install healthy eating habits di subconscious, (5) Manage cravings & portion control, (6) Boost self-esteem & body image. TIDAK BISA: Hipnoterapi TIDAK bisa menurunkan berat badan tanpa perubahan diet & aktivitas fisik - ini bukan magic! BEST RESULTS: Kombinasi dengan nutritionist + exercise program. Average weight loss: 1-2kg per minggu secara sustainable.","weight loss,diet,turun berat badan,obesitas,kurus",8
faq_general,"Pain Management","Bisa hipnosis untuk mengurangi nyeri kronis?","Ya! Hipnoterapi adalah salah satu metode pain management paling efektif tanpa obat. EVIDENCE: (1) Clinical trials menunjukkan 50-80% reduction dalam chronic pain, (2) Efektif untuk: migraine, fibromyalgia, arthritis, back pain, cancer pain, (3) AMA (American Medical Association) officially approved hypnosis untuk pain management sejak 1958. CARA KERJA: (1) Gate control theory - hipnosis 'close the gate' untuk pain signals, (2) Endorphin release, (3) Dissociation dari pain, (4) Reframing pain sensation. TIDAK REPLACE: Medical treatment untuk underlying condition, tapi reduce need for pain medication hingga 50%. Session 6-10 kali untuk chronic pain, maintenance monthly.","pain,nyeri,chronic pain,pain management",9
faq_general,"Trauma Healing","Berapa lama proses penyembuhan trauma dengan hipnoterapi?","Timeline trauma healing bervariasi tergantung severity: (1) Single incident trauma (accident, assault): 6-10 sesi, 2-3 bulan, (2) Complex trauma (childhood abuse, long-term): 15-30 sesi, 6-12 bulan, (3) PTSD dengan flashbacks: 12-20 sesi, 4-6 bulan, (4) Developmental trauma: 20-40 sesi, 9-18 bulan. METODE: Regression therapy, reprocessing traumatic memories, parts therapy, ego strengthening, resource building. PROGRESS: Biasanya symptom reduction 30-40% setelah 5 sesi, 60-70% setelah 10 sesi. PENTING: Trauma healing is not linear - ada ups and downs. Butuh patience dan commitment. Dikombinasi dengan EMDR atau somatic therapy untuk hasil optimal.","trauma,PTSD,healing,traumatic,penyembuhan",9
faq_general,"Referral Discount","Apakah ada program referral?","Ya! Program referral Albashiro: (1) REFERRER: Dapatkan diskon 20% untuk sesi berikutnya setiap kali refer teman yang book sesi, (2) REFEREE: Teman yang direferral dapat diskon 10% untuk first session, (3) UNLIMITED: Tidak ada limit berapa banyak orang yang bisa Anda refer, (4) STACK: Diskon bisa diakumulasi hingga 50% off untuk satu sesi, (5) SHARING: Bonus sesi gratis setiap 5 referral yang successfully book. CARA: Minta referral code dari terapis atau admin, share ke teman, mereka mention code saat booking. Win-win solution untuk spread mental health awareness!","referral,diskon,discount,program,promo",8
faq_general,"Emergency Session","Apakah tersedia sesi darurat untuk kasus urgent?","Ya, kami provide emergency session untuk urgent cases: (1) CRITERIA: Severe panic attack, acute trauma response, suicidal ideation (as adjunct to psychiatric care), severe anxiety crisis, (2) AVAILABILITY: Same-day atau next-day appointment jika ada slot, (3) BIAYA: Emergency surcharge 50% dari regular rate, (4) DURASI: 60-90 menit, (5) AKSES: WhatsApp/phone ke admin untuk emergency scheduling. PENTING: Jika psychiatric emergency (active suicidal, psychotic episode), segera ke UGD atau call 119 dulu. Hipnoterapi adalah supportive care, not replacement untuk emergency psychiatric intervention. Kami work closely dengan psychiatrist untuk co-manage emergency cases.","emergency,darurat,urgent,crisis,panic",9
faq_general,"Home Visit Service","Apakah ada layanan home visit?","Ya! Home visit service tersedia dengan conditions: (1) AREA: Jakarta, Bogor, Depok, Tangerang, Bekasi (Jabodetabek), (2) BIAYA: Rp 1.500.000-2.500.000 tergantung distance + transportation, (3) SYARAT: Minimum 90-minute session, private quiet room, stable internet for paperwork, (4) COCOK UNTUK: Mobility issues, agoraphobia, post-surgery patients, elderly, high-profile clients yang butuh privacy, (5) BOOKING: Minimum 3 hari advance notice, subject to therapist availability. BENEFIT: Maximum comfort dan privacy, no travel stress, bisa sesi di environment familiar. Paket 5 home visits dapat diskon 15%.","home visit,visit,rumah,datang ke rumah,mobile",8
faq_general,"Group Therapy","Apakah ada sesi terapi kelompok?","Ya, group hypnotherapy available untuk kondisi tertentu: (1) JENIS: Stress management workshop, smoking cessation group, weight loss support group, anxiety management, (2) SIZE: 5-12 orang per group untuk effectiveness, (3) BIAYA: Rp 250.000-400.000 per person per session (lebih affordable), (4) DURASI: 90-120 menit, typically 4-6 sessions program, (5) STRUKTUR: Psychoeducation + group trance + sharing session. BENEFIT: Cost-effective, peer support, learn from others, normalize experiences. TIDAK COCOK untuk: Severe trauma, deep personal issues, privacy concerns. Schedule: Biasanya monthly workshop, check website untuk upcoming sessions.","group,kelompok,group therapy,workshop",7
faq_general,"Corporate Package","Apakah ada paket untuk karyawan perusahaan?","Ya! Corporate wellness package Albashiro: (1) STRESS MANAGEMENT WORKSHOP: 2-3 jam untuk 20-30 karyawan, Rp 10-15 juta, (2) BURNOUT PREVENTION PROGRAM: 6 sessions, Rp 30 juta untuk 30 karyawan, (3) LEADERSHIP HYPNOSIS: Confidence & public speaking untuk leaders, custom package, (4) PRODUCTIVITY BOOTCAMP: Focus & procrastination program, (5) INDIVIDUAL COUNSELING: Paket 50-100 sesi untuk employee assistance program. BENEFIT: Reduce absenteeism, increase productivity 15-30%, improve workplace morale, retention. CUSTOMIZABLE: Bisa adjust content sesuai industry & company needs. ROI studies show $3-4 return per $1 invested in mental health programs.","corporate,perusahaan,karyawan,workplace,employee",8
conditions,"Generalized Anxiety Disorder","Apa itu GAD dan bisa disembuhin?","Generalized Anxiety Disorder (GAD) adalah kondisi kecemasan berlebihan dan persisten tentang berbagai hal tanpa alasan jelas, berlangsung minimal 6 bulan. SYMPTOMS: Restlessness, mudah lelah, sulit konsentrasi, irritability, muscle tension, sleep disturbance, excessive worry. PREVALENCE: 5-7% populasi, lebih umum pada wanita. TREATMENT: Hipnoterapi menggunakan anxiety reduction techniques: (1) Deep relaxation training, (2) Cognitive restructuring sugesti, (3) Worry management, (4) Mindfulness integration, (5) Self-hypnosis untuk daily practice. SUCCESS RATE: 70-80% significant reduction dalam 8-12 sesi. KOMBINASI: Optimal jika combined dengan CBT techniques dan lifestyle changes. Long-term remission achievable dengan maintenance sessions.","GAD,anxiety,kecemasan,generalized anxiety",9
conditions,"Panic Disorder","Gimana cara ngatasi panic attack dengan hipnoterapi?","Panic Disorder adalah kondisi panic attack recurrent yang unexpected, dengan intense fear dan physical symptoms. SYMPTOMS: Palpitations, sweating, trembling, shortness of breath, chest pain, nausea, dizziness, fear of dying. TREATMENT: (1) Desensitization - exposure dalam kondisi aman, (2) Anchoring calm state untuk interrupt panic, (3) Breathing retraining dengan hypnotic suggestion, (4) Cognitive reframe tentang bodily sensations, (5) Ego strengthening untuk confidence. SUCCESS: 80-85% experience 70%+ reduction dalam panic frequency setelah 6-8 sesi. BONUS: Teaching self-hypnosis technique to abort panic attack onset. Maintenance: Monthly booster sessions jika needed.","panic,panic attack,panik,panic disorder,serangan panik",10
conditions,"Social Anxiety","Fobia sosial parah bisa sembuh total gak?","Social Anxiety Disorder (SAD) adalah ketakutan intense akan judgment sosial dan embarrassment. SEVERITY: Mild (presentasi), Moderate (conversations), Severe (tidak bisa keluar rumah). TREATABLE: Ya! Bahkan severe cases. SUCCESS RATE: 70-80% improvement dengan 10-15 sesi. APPROACH: (1) Graduated exposure dalam trance, (2) Confidence building suggestions, (3) Reframing negative self-perceptions, (4) Social skills visualization, (5) Past success amplification. TIMELINE: Mild: 4-6 sesi, Moderate: 8-12 sesi, Severe: 15-20 sesi. TESTIMONIAL: Klien yang tidak bisa meeting kini jadi public speaker. Dikombinasi dengan behavioral experiments di real life untuk generalization.","social anxiety,fobia sosial,takut orang,social phobia",9
